CENTRALWAVELNG,BANDWIDTH,PL_TRANDEP,PL_TRANDEPERR1,PL_TRANDEPERR2,PL_TRANDEP_AUTHORS,PL_RATROR,PL_RATRORERR1,PL_RATRORERR2,PL_RATROR_AUTHORS,PL_RADJ,PL_RADJERR1,PL_RADJERR2,PL_RADJ_AUTHORS,PL_TRANMID,PL_TRANMIDERR1,PL_TRANMIDERR2,ST_RAD,ST_RADERR1,ST_RADERR2,ST_RAD_AUTHORS
0.60638,0.00641,1.95308,0.01971,-0.01971,Fournier-Tondreau et al. 2024,0.13975,7.0E-4,-7.1E-4,Calculated,1.0186,0.0506,-0.0506,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
0.61278,0.00648,1.92717,0.01971,-0.01971,Fournier-Tondreau et al. 2024,0.13882,7.1E-4,-7.1E-4,Calculated,1.0118,0.0503,-0.0503,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
0.61926,0.00655,1.95172,0.01799,-0.01799,Fournier-Tondreau et al. 2024,0.1397,6.4E-4,-6.5E-4,Calculated,1.0183,0.0505,-0.0505,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
0.62581,0.00661,1.94241,0.01511,-0.01511,Fournier-Tondreau et al. 2024,0.13937,5.4E-4,-5.4E-4,Calculated,1.0158,0.0503,-0.0503,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
0.63242,0.00668,1.92803,0.01359,-0.01359,Fournier-Tondreau et al. 2024,0.13885,4.9E-4,-4.9E-4,Calculated,1.0121,0.0501,-0.0501,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
0.63911,0.00675,1.90856,0.01255,-0.01255,Fournier-Tondreau et al. 2024,0.13815,4.5E-4,-4.5E-4,Calculated,1.0069,0.0499,-0.0499,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
0.64586,0.00683,1.9083,0.01152,-0.01152,Fournier-Tondreau et al. 2024,0.13814,4.2E-4,-4.2E-4,Calculated,1.0069,0.0498,-0.0498,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
0.65269,0.0069,1.91903,0.01043,-0.01043,Fournier-Tondreau et al. 2024,0.13853,3.8E-4,-3.8E-4,Calculated,1.0097,0.05,-0.05,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
0.65959,0.00697,1.94168,0.00983,-0.00983,Fournier-Tondreau et al. 2024,0.13934,3.5E-4,-3.5E-4,Calculated,1.0156,0.0502,-0.0502,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
0.66656,0.00705,1.9012,0.00904,-0.00904,Fournier-Tondreau et al. 2024,0.13788,3.3E-4,-3.3E-4,Calculated,1.005,0.0497,-0.0497,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
0.6736,0.00712,1.92219,0.00807,-0.00807,Fournier-Tondreau et al. 2024,0.13864,2.9E-4,-2.9E-4,Calculated,1.0105,0.05,-0.05,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
0.68072,0.00712,1.90683,0.00774,-0.00774,Fournier-Tondreau et al. 2024,0.13809,2.8E-4,-2.8E-4,Calculated,1.0065,0.0498,-0.0498,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
0.71023,0.00754,1.9145,0.00676,-0.00676,Fournier-Tondreau et al. 2024,0.13837,2.4E-4,-2.4E-4,Calculated,1.0085,0.0499,-0.0499,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
0.71777,0.00762,1.90722,0.00676,-0.00676,Fournier-Tondreau et al. 2024,0.1381,2.4E-4,-2.5E-4,Calculated,1.0066,0.0498,-0.0498,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
0.72538,0.0077,1.91708,0.00679,-0.00679,Fournier-Tondreau et al. 2024,0.13846,2.4E-4,-2.5E-4,Calculated,1.0092,0.0499,-0.0499,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
0.73308,0.00778,1.91672,0.00661,-0.00661,Fournier-Tondreau et al. 2024,0.13845,2.4E-4,-2.4E-4,Calculated,1.0091,0.0499,-0.0499,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
0.74085,0.00786,1.88041,0.00662,-0.00662,Fournier-Tondreau et al. 2024,0.13713,2.4E-4,-2.4E-4,Calculated,0.9995,0.0494,-0.0494,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
0.74871,0.00794,1.91776,0.00663,-0.00663,Fournier-Tondreau et al. 2024,0.13848,2.4E-4,-2.4E-4,Calculated,1.0094,0.0499,-0.0499,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
0.75666,0.00803,1.88467,0.00684,-0.00684,Fournier-Tondreau et al. 2024,0.13728,2.5E-4,-2.5E-4,Calculated,1.0006,0.0495,-0.0495,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
0.76469,0.00811,1.89629,0.00695,-0.00695,Fournier-Tondreau et al. 2024,0.13771,2.5E-4,-2.5E-4,Calculated,1.0037,0.0496,-0.0496,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
0.7728,0.0082,1.90387,0.00705,-0.00705,Fournier-Tondreau et al. 2024,0.13798,2.6E-4,-2.6E-4,Calculated,1.0057,0.0497,-0.0497,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
0.781,0.00829,1.89274,0.00711,-0.00711,Fournier-Tondreau et al. 2024,0.13758,2.6E-4,-2.6E-4,Calculated,1.0027,0.0496,-0.0496,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
0.78928,0.00837,1.90996,0.00745,-0.00745,Fournier-Tondreau et al. 2024,0.1382,2.7E-4,-2.7E-4,Calculated,1.0073,0.0498,-0.0498,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
0.79766,0.00846,1.90028,0.00758,-0.00758,Fournier-Tondreau et al. 2024,0.13785,2.7E-4,-2.8E-4,Calculated,1.0047,0.0497,-0.0497,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
0.80612,0.00855,1.897,0.0081,-0.0081,Fournier-Tondreau et al. 2024,0.13773,2.9E-4,-2.9E-4,Calculated,1.0039,0.0496,-0.0496,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
0.81467,0.00864,1.89687,0.00842,-0.00842,Fournier-Tondreau et al. 2024,0.13773,3.1E-4,-3.1E-4,Calculated,1.0038,0.0496,-0.0496,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
0.82332,0.00874,1.8939,0.00866,-0.00866,Fournier-Tondreau et al. 2024,0.13762,3.1E-4,-3.1E-4,Calculated,1.0031,0.0496,-0.0496,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
0.83205,0.00883,1.88456,0.00921,-0.00921,Fournier-Tondreau et al. 2024,0.13728,3.4E-4,-3.4E-4,Calculated,1.0006,0.0495,-0.0495,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
0.84088,0.00883,1.9271,0.00948,-0.00948,Fournier-Tondreau et al. 2024,0.13882,3.4E-4,-3.4E-4,Calculated,1.0118,0.05,-0.05,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
0.85624,0.0115,1.91254,0.01059,-0.01059,Fournier-Tondreau et al. 2024,0.13829,3.8E-4,-3.8E-4,Calculated,1.008,0.0499,-0.0499,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
0.89641,0.00913,1.90059,0.00689,-0.00689,Fournier-Tondreau et al. 2024,0.13786,2.5E-4,-2.5E-4,Calculated,1.0048,0.0497,-0.0497,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
0.90554,0.00923,1.88745,0.00689,-0.00689,Fournier-Tondreau et al. 2024,0.13738,2.5E-4,-2.5E-4,Calculated,1.0013,0.0495,-0.0495,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
0.91477,0.00932,1.90179,0.00661,-0.00661,Fournier-Tondreau et al. 2024,0.13791,2.4E-4,-2.4E-4,Calculated,1.0051,0.0497,-0.0497,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
0.92409,0.00942,1.89248,0.00628,-0.00628,Fournier-Tondreau et al. 2024,0.13757,2.3E-4,-2.3E-4,Calculated,1.0027,0.0496,-0.0496,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
0.9335,0.00951,1.90253,0.00623,-0.00623,Fournier-Tondreau et al. 2024,0.13793,2.3E-4,-2.3E-4,Calculated,1.0053,0.0497,-0.0497,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
0.94302,0.00961,1.88588,0.00613,-0.00613,Fournier-Tondreau et al. 2024,0.13733,2.2E-4,-2.2E-4,Calculated,1.0009,0.0495,-0.0495,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
0.95263,0.00971,1.89784,0.00616,-0.00616,Fournier-Tondreau et al. 2024,0.13776,2.2E-4,-2.2E-4,Calculated,1.0041,0.0496,-0.0496,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
0.96233,0.00981,1.8944,0.00581,-0.00581,Fournier-Tondreau et al. 2024,0.13764,2.1E-4,-2.1E-4,Calculated,1.0032,0.0496,-0.0496,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
0.97214,0.00991,1.88589,0.00579,-0.00579,Fournier-Tondreau et al. 2024,0.13733,2.1E-4,-2.1E-4,Calculated,1.0009,0.0495,-0.0495,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
0.98204,0.01001,1.8823,0.00571,-0.00571,Fournier-Tondreau et al. 2024,0.1372,2.1E-4,-2.1E-4,Calculated,1.0,0.0494,-0.0494,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
0.99205,0.01011,1.89522,0.00567,-0.00567,Fournier-Tondreau et al. 2024,0.13767,2.1E-4,-2.1E-4,Calculated,1.0034,0.0496,-0.0496,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.00216,0.01021,1.90474,0.00557,-0.00557,Fournier-Tondreau et al. 2024,0.13801,2.0E-4,-2.0E-4,Calculated,1.0059,0.0497,-0.0497,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.01237,0.01032,1.88973,0.00535,-0.00535,Fournier-Tondreau et al. 2024,0.13747,1.9E-4,-1.9E-4,Calculated,1.002,0.0495,-0.0495,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.02268,0.01042,1.8948,0.0052,-0.0052,Fournier-Tondreau et al. 2024,0.13765,1.9E-4,-1.9E-4,Calculated,1.0033,0.0496,-0.0496,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.0331,0.01053,1.89532,0.00501,-0.00501,Fournier-Tondreau et al. 2024,0.13767,1.8E-4,-1.8E-4,Calculated,1.0034,0.0496,-0.0496,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.04363,0.01063,1.88771,0.00514,-0.00514,Fournier-Tondreau et al. 2024,0.13739,1.9E-4,-1.9E-4,Calculated,1.0014,0.0495,-0.0495,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.05426,0.01074,1.89166,0.00497,-0.00497,Fournier-Tondreau et al. 2024,0.13754,1.8E-4,-1.8E-4,Calculated,1.0025,0.0495,-0.0495,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.06501,0.01085,1.89485,0.00481,-0.00481,Fournier-Tondreau et al. 2024,0.13765,1.7E-4,-1.7E-4,Calculated,1.0033,0.0496,-0.0496,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.07586,0.01096,1.89928,0.00489,-0.00489,Fournier-Tondreau et al. 2024,0.13781,1.8E-4,-1.8E-4,Calculated,1.0045,0.0496,-0.0496,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.08682,0.01107,1.92409,0.00492,-0.00492,Fournier-Tondreau et al. 2024,0.13871,1.8E-4,-1.8E-4,Calculated,1.011,0.05,-0.05,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.09789,0.01119,1.89576,0.00481,-0.00481,Fournier-Tondreau et al. 2024,0.13769,1.7E-4,-1.7E-4,Calculated,1.0035,0.0496,-0.0496,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.10908,0.0113,1.89366,0.00478,-0.00478,Fournier-Tondreau et al. 2024,0.13761,1.7E-4,-1.7E-4,Calculated,1.003,0.0496,-0.0496,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.12038,0.01142,1.90566,0.00462,-0.00462,Fournier-Tondreau et al. 2024,0.13805,1.7E-4,-1.7E-4,Calculated,1.0062,0.0497,-0.0497,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.1318,0.01153,1.90915,0.00462,-0.00462,Fournier-Tondreau et al. 2024,0.13817,1.7E-4,-1.7E-4,Calculated,1.0071,0.0498,-0.0498,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.14333,0.01165,1.89097,0.00452,-0.00452,Fournier-Tondreau et al. 2024,0.13751,1.6E-4,-1.6E-4,Calculated,1.0023,0.0495,-0.0495,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.15498,0.01177,1.89905,0.00443,-0.00443,Fournier-Tondreau et al. 2024,0.13781,1.6E-4,-1.6E-4,Calculated,1.0044,0.0496,-0.0496,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.16675,0.01189,1.89424,0.00448,-0.00448,Fournier-Tondreau et al. 2024,0.13763,1.6E-4,-1.6E-4,Calculated,1.0031,0.0496,-0.0496,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.17864,0.01201,1.90282,0.00447,-0.00447,Fournier-Tondreau et al. 2024,0.13794,1.6E-4,-1.6E-4,Calculated,1.0054,0.0497,-0.0497,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.19065,0.01213,1.88082,0.00442,-0.00442,Fournier-Tondreau et al. 2024,0.13714,1.6E-4,-1.6E-4,Calculated,0.9996,0.0494,-0.0494,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.20278,0.01226,1.88992,0.0044,-0.0044,Fournier-Tondreau et al. 2024,0.13747,1.6E-4,-1.6E-4,Calculated,1.002,0.0495,-0.0495,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.21503,0.01238,1.87752,0.00452,-0.00452,Fournier-Tondreau et al. 2024,0.13702,1.6E-4,-1.6E-4,Calculated,0.9987,0.0494,-0.0494,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.22741,0.01251,1.89404,0.0045,-0.0045,Fournier-Tondreau et al. 2024,0.13762,1.6E-4,-1.6E-4,Calculated,1.0031,0.0496,-0.0496,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.23992,0.01263,1.88521,0.00447,-0.00447,Fournier-Tondreau et al. 2024,0.1373,1.6E-4,-1.6E-4,Calculated,1.0008,0.0495,-0.0495,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.25255,0.01276,1.88457,0.00433,-0.00433,Fournier-Tondreau et al. 2024,0.13728,1.6E-4,-1.6E-4,Calculated,1.0006,0.0494,-0.0494,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.26532,0.01289,1.88031,0.00421,-0.00421,Fournier-Tondreau et al. 2024,0.13712,1.5E-4,-1.5E-4,Calculated,0.9995,0.0494,-0.0494,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.27821,0.01302,1.87256,0.00425,-0.00425,Fournier-Tondreau et al. 2024,0.13684,1.6E-4,-1.6E-4,Calculated,0.9974,0.0493,-0.0493,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.29123,0.01316,1.87683,0.00433,-0.00433,Fournier-Tondreau et al. 2024,0.137,1.6E-4,-1.6E-4,Calculated,0.9985,0.0493,-0.0493,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
1.30439,0.01329,1.89713,0.00433,-0.00433,Fournier-Tondreau et al. 2024,0.13774,1.6E-4,-1.6E-4,Calculated,1.0039,0.0496,-0.0496,Calculated,,,,0.749,0.037,-0.037,Hartman et al. 2011
